iter	Passed	Remaining
0	136	136848
1	138	69275
2	140	46703
3	142	35453
4	144	28715
5	146	24233
6	147	20985
7	149	18595
8	151	16713
9	153	15198
10	155	13949
11	156	12889
12	158	12005
13	159	11264
14	161	10613
15	163	10041
16	165	9553
17	167	9135
18	169	8732
19	170	8374
20	172	8047
21	174	7747
22	176	7491
23	178	7248
24	180	7041
25	182	6838
26	184	6644
27	186	6477
28	188	6306
29	190	6160
30	192	6017
31	194	5891
32	196	5769
33	199	5659
34	201	5556
35	203	5458
36	205	5351
37	207	5251
38	209	5162
39	211	5073
40	212	4980
41	214	4892
42	215	4806
43	217	4724
44	218	4644
45	220	4580
46	223	4522
47	225	4468
48	227	4407
49	228	4333
50	229	4274
51	232	4231
52	233	4180
53	236	4143
54	239	4106
55	241	4069
56	244	4037
57	246	4000
58	247	3943
59	248	3894
60	250	3861
61	252	3825
62	254	3790
63	257	3760
64	259	3726
65	260	3691
66	262	3652
67	264	3624
68	266	3595
69	268	3565
70	270	3536
71	272	3506
72	273	3478
73	275	3448
74	277	3425
75	279	3401
76	282	3383
77	284	3358
78	286	3337
79	288	3318
80	290	3300
81	293	3284
82	294	3257
83	297	3239
84	299	3224
85	301	3208
86	304	3194
87	306	3181
88	309	3167
89	311	3150
90	313	3132
91	315	3114
92	317	3096
93	319	3078
94	321	3060
95	323	3042
96	325	3026
97	327	3010
98	328	2993
99	330	2975
100	332	2956
101	333	2939
102	335	2921
103	337	2903
104	338	2887
105	340	2871
106	342	2857
107	344	2843
108	345	2828
109	347	2813
110	349	2797
111	350	2782
112	352	2765
113	353	2750
114	355	2734
115	356	2719
116	358	2702
117	359	2686
118	360	2672
119	362	2656
120	363	2642
121	364	2625
122	366	2610
123	367	2595
124	368	2581
125	370	2568
126	371	2553
127	372	2540
128	374	2526
129	375	2514
130	376	2500
131	378	2486
132	379	2473
133	380	2460
134	382	2448
135	383	2435
136	385	2428
137	387	2417
138	388	2406
139	389	2395
140	391	2384
141	392	2369
142	393	2359
143	395	2348
144	396	2336
145	397	2324
146	398	2312
147	399	2301
148	401	2290
149	402	2278
150	403	2267
151	404	2256
152	405	2246
153	406	2235
154	408	2224
155	409	2213
156	410	2203
157	411	2192
158	412	2183
159	414	2173
160	414	2162
161	416	2152
162	417	2142
163	418	2132
164	419	2122
165	420	2113
166	421	2103
167	422	2093
168	423	2084
169	424	2074
170	426	2065
171	427	2057
172	428	2049
173	429	2040
174	431	2032
175	432	2025
176	433	2016
177	434	2007
178	436	1999
179	437	1991
180	438	1984
181	439	1975
182	440	1967
183	441	1959
184	443	1951
185	444	1943
186	445	1936
187	446	1929
188	447	1921
189	448	1913
190	449	1905
191	451	1898
192	452	1890
193	453	1883
194	454	1875
195	455	1868
196	456	1861
197	457	1855
198	459	1847
199	460	1841
200	462	1836
201	463	1830
202	464	1823
203	465	1817
204	467	1811
205	468	1804
206	469	1797
207	470	1791
208	471	1785
209	473	1779
210	474	1773
211	475	1767
212	476	1761
213	477	1755
214	479	1749
215	480	1743
216	481	1737
217	482	1731
218	484	1726
219	485	1720
220	486	1713
221	487	1708
222	488	1701
223	489	1696
224	490	1689
225	491	1684
226	493	1679
227	494	1673
228	495	1667
229	496	1662
230	497	1657
231	499	1652
232	500	1647
233	501	1642
234	502	1637
235	503	1631
236	505	1625
237	506	1620
238	507	1615
239	508	1610
240	511	1609
241	513	1607
242	514	1602
243	516	1599
244	517	1595
245	519	1590
246	520	1586
247	522	1582
248	523	1578
249	524	1573
250	525	1569
251	527	1565
252	528	1561
253	530	1557
254	531	1552
255	532	1547
256	533	1543
257	535	1538
258	536	1534
259	537	1530
260	538	1525
261	539	1520
262	540	1515
263	541	1510
264	542	1505
265	543	1500
266	544	1495
267	545	1489
268	546	1484
269	547	1479
270	547	1473
271	548	1468
272	549	1462
273	550	1457
274	551	1453
275	552	1448
276	553	1443
277	554	1439
278	555	1434
279	556	1429
280	556	1425
281	557	1420
282	558	1414
283	559	1409
284	559	1404
285	560	1399
286	561	1394
287	562	1390
288	563	1385
289	563	1380
290	564	1375
291	565	1370
292	565	1365
293	566	1360
294	567	1355
295	568	1352
296	569	1347
297	570	1343
298	570	1338
299	571	1334
300	572	1329
301	573	1324
302	573	1319
303	574	1315
304	575	1310
305	576	1306
306	576	1301
307	577	1297
308	578	1292
309	578	1288
310	579	1283
311	580	1279
312	580	1274
313	581	1270
314	582	1266
315	583	1262
316	584	1258
317	584	1254
318	585	1249
319	586	1245
320	586	1241
321	587	1237
322	588	1233
323	589	1228
324	589	1224
325	590	1220
326	591	1216
327	591	1212
328	592	1208
329	593	1204
330	594	1200
331	594	1196
332	595	1192
333	596	1188
334	596	1184
335	597	1181
336	598	1177
337	599	1173
338	600	1170
339	600	1166
340	601	1162
341	602	1159
342	603	1155
343	603	1151
344	604	1147
345	605	1143
346	605	1140
347	606	1136
348	607	1132
349	607	1128
350	608	1125
351	609	1121
352	609	1117
353	610	1114
354	611	1110
355	612	1107
356	612	1103
357	613	1100
358	614	1097
359	615	1094
360	616	1090
361	616	1087
362	617	1083
363	618	1080
364	619	1077
365	619	1073
366	620	1070
367	621	1067
368	621	1063
369	622	1060
370	623	1056
371	624	1053
372	624	1050
373	625	1047
374	626	1043
